epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.829,1.3393,2.93827,2.41173,0.60851,0.40794,0.42743,0.28629,1.01373,2.69992,2.00953,0.000138549,0.000138549,0.000138549
2,272.648,1.07441,1.41946,2.11317,0.54897,0.49002,0.51759,0.35447,0.98947,2.55548,1.91232,0.000272053,0.000272053,0.000272053
3,404.786,1.01727,1.14072,2.0585,0.55138,0.49918,0.52646,0.36868,1.0123,2.64699,1.91946,0.000400053,0.000400053,0.000400053
4,533.339,0.98136,1.03489,2.02151,0.57578,0.52215,0.55398,0.38654,1.03752,2.66276,1.92736,0.00039223,0.00039223,0.00039223
5,664.555,0.94527,0.96802,1.99088,0.59693,0.52766,0.57205,0.40805,1.00194,2.68696,1.91918,0.000383974,0.000383974,0.000383974
1,148.44,1.30634,3.28916,2.39588,0.62335,0.38381,0.40348,0.28233,1.01496,2.60433,2.0213,0.000138549,0.000138549,0.000138549
2,285.134,1.07216,1.45371,2.06554,0.60123,0.48969,0.52463,0.36959,0.94512,2.47873,1.88325,0.000272053,0.000272053,0.000272053
3,426.644,1.00702,1.11156,2.00894,0.62813,0.51039,0.55091,0.39557,0.98428,2.54296,1.90795,0.000400053,0.000400053,0.000400053
4,565.326,0.97282,1.00115,1.95857,0.66221,0.5307,0.57746,0.41543,1.05191,2.58838,1.91972,0.00039223,0.00039223,0.00039223
5,705.307,0.93791,0.93446,1.92496,0.67125,0.53462,0.5864,0.43109,1.05528,2.57403,1.92022,0.000383974,0.000383974,0.000383974
6,843.078,0.90921,0.87574,1.8912,0.66411,0.54697,0.59456,0.44839,1.01326,2.61005,1.87968,0.000375717,0.000375717,0.000375717
7,982.123,0.88298,0.83714,1.8718,0.6271,0.54635,0.59921,0.45182,1.06758,2.57843,1.93703,0.00036746,0.00036746,0.00036746
8,1119.98,0.87492,0.81988,1.87304,0.6243,0.55078,0.60202,0.45575,1.09797,2.59193,1.94388,0.000359204,0.000359204,0.000359204
9,1261.1,0.85602,0.79195,1.85322,0.64734,0.55583,0.61522,0.46877,1.03779,2.60212,1.92473,0.000350947,0.000350947,0.000350947
10,1400.77,0.83814,0.78337,1.84619,0.63979,0.55654,0.6131,0.47164,1.02217,2.66289,1.87595,0.000342691,0.000342691,0.000342691
11,1537.36,0.82589,0.7613,1.83968,0.63348,0.55989,0.61158,0.47294,1.05832,2.60563,1.91369,0.000334434,0.000334434,0.000334434
1,172.54,1.26136,2.87892,2.27983,0.63406,0.50184,0.51748,0.36107,0.96565,2.37867,1.97144,0.000138789,0.000138789,0.000138789
2,330.155,1.01881,1.23813,2.01832,0.63925,0.56072,0.59319,0.43045,0.93954,2.36287,1.90644,0.000272289,0.000272289,0.000272289
3,487.449,0.97188,1.03961,1.98624,0.64299,0.56114,0.59416,0.43252,0.99792,2.4637,1.91665,0.000400284,0.000400284,0.000400284
4,643.905,0.9539,0.96565,1.96738,0.6029,0.57881,0.61351,0.4568,1.05844,2.47376,1.95122,0.00039223,0.00039223,0.00039223
5,800.225,0.91089,0.8863,1.92704,0.60528,0.5971,0.62903,0.47208,1.00872,2.51184,1.90295,0.000383974,0.000383974,0.000383974
6,957.671,0.8875,0.85145,1.90814,0.63546,0.58687,0.63201,0.48335,1.06891,2.48595,1.96721,0.000375717,0.000375717,0.000375717
7,1116.89,0.87137,0.82881,1.90283,0.64825,0.60999,0.64885,0.49806,1.02585,2.4952,1.94239,0.00036746,0.00036746,0.00036746
8,1271.47,0.85953,0.80486,1.88849,0.63159,0.60318,0.64588,0.49779,1.04901,2.48667,1.94039,0.000359204,0.000359204,0.000359204
9,1428.07,0.84421,0.78883,1.88806,0.63981,0.60594,0.64768,0.507,1.03927,2.48682,1.95732,0.000350947,0.000350947,0.000350947
10,1583.88,0.83216,0.76652,1.87869,0.64529,0.60822,0.6534,0.51543,1.02116,2.48276,1.93809,0.000342691,0.000342691,0.000342691
11,1739.45,0.81623,0.7431,1.86623,0.65133,0.6201,0.66032,0.52022,0.9991,2.37654,1.92837,0.000334434,0.000334434,0.000334434
12,1898.86,0.80056,0.72534,1.83989,0.64235,0.61475,0.65556,0.51269,0.9883,2.41168,1.91696,0.000326177,0.000326177,0.000326177
13,2056.91,0.79664,0.72361,1.84506,0.6599,0.61191,0.65947,0.52451,1.00099,2.30687,1.92486,0.000317921,0.000317921,0.000317921
14,2211.88,0.79001,0.71409,1.85354,0.64859,0.63175,0.66776,0.53629,0.95717,2.26179,1.91473,0.000309664,0.000309664,0.000309664
15,2368.76,0.77737,0.69608,1.84349,0.65523,0.62107,0.6641,0.52842,0.95857,2.21965,1.89896,0.000301408,0.000301408,0.000301408
16,2526.88,0.78258,0.69655,1.8415,0.67051,0.62189,0.66531,0.53441,0.94558,2.0781,1.90878,0.000293151,0.000293151,0.000293151
17,2682.09,0.76563,0.68015,1.82373,0.66829,0.61987,0.66331,0.53624,0.93916,2.08541,1.90517,0.000284894,0.000284894,0.000284894
18,2838.54,0.76193,0.67466,1.83389,0.65088,0.63918,0.67311,0.54217,0.92414,1.97569,1.87872,0.000276638,0.000276638,0.000276638
19,2997.69,0.75627,0.66986,1.81199,0.66793,0.62881,0.67234,0.54711,0.923,1.99517,1.88255,0.000268381,0.000268381,0.000268381
20,3152.69,0.74528,0.65634,1.81557,0.65492,0.62634,0.66905,0.54209,0.92598,1.99937,1.87764,0.000260125,0.000260125,0.000260125
21,3310.48,0.74197,0.65599,1.81072,0.65674,0.62718,0.66576,0.54184,0.91116,1.91465,1.88204,0.000251868,0.000251868,0.000251868
22,3466.69,0.73845,0.64219,1.79816,0.66422,0.62435,0.67002,0.54736,0.91728,1.90644,1.90797,0.000243611,0.000243611,0.000243611
23,3623.24,0.73896,0.64376,1.80222,0.65546,0.62997,0.6707,0.54517,0.90165,1.90899,1.88331,0.000235355,0.000235355,0.000235355
24,3779.24,0.73241,0.63697,1.80984,0.66754,0.62999,0.66976,0.54663,0.89025,1.83653,1.88108,0.000227098,0.000227098,0.000227098
25,3936.77,0.72352,0.6294,1.7835,0.66,0.63591,0.67256,0.55024,0.8982,1.91194,1.85736,0.000218842,0.000218842,0.000218842
26,4096.38,0.72272,0.62314,1.77618,0.66184,0.63173,0.67044,0.55027,0.89574,1.8516,1.8673,0.000210585,0.000210585,0.000210585
27,4252.26,0.71849,0.61525,1.78675,0.66968,0.63341,0.67405,0.55232,0.89646,1.87069,1.86676,0.000202328,0.000202328,0.000202328
28,4409.82,0.71307,0.60921,1.77775,0.64877,0.64392,0.67587,0.55144,0.87541,1.89301,1.83515,0.000194072,0.000194072,0.000194072
29,4566.5,0.70914,0.60801,1.77866,0.66791,0.62596,0.67479,0.55932,0.87445,1.81849,1.84777,0.000185815,0.000185815,0.000185815
30,4721.96,0.70969,0.60443,1.77491,0.67851,0.63155,0.67534,0.55426,0.87004,1.80514,1.84883,0.000177559,0.000177559,0.000177559
31,4877.91,0.70608,0.60692,1.77255,0.67995,0.63356,0.68018,0.5636,0.87482,1.79538,1.86788,0.000169302,0.000169302,0.000169302
32,5036.6,0.69265,0.59092,1.76817,0.66941,0.63224,0.67508,0.55921,0.87323,1.81845,1.86464,0.000161045,0.000161045,0.000161045
33,5192.95,0.69023,0.59069,1.75777,0.67591,0.63609,0.67872,0.56046,0.87654,1.8,1.86093,0.000152789,0.000152789,0.000152789
34,5350.89,0.69423,0.58766,1.77306,0.66925,0.63449,0.68028,0.56202,0.87562,1.76839,1.86537,0.000144532,0.000144532,0.000144532
35,5505.78,0.68379,0.57875,1.75203,0.6747,0.64497,0.68391,0.56663,0.86896,1.82169,1.85229,0.000136276,0.000136276,0.000136276
