epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9327,1.07469,2.2316,2.1265,0.68214,0.64255,0.68646,0.57862,0.82461,1.71176,1.8104,3.336e-05,3.336e-05,3.336e-05
2,55.924,0.93486,2.07,1.96816,0.68141,0.64529,0.68643,0.57682,0.831,1.73614,1.79832,6.85506e-05,6.85506e-05,6.85506e-05
3,83.1119,0.88867,2.00715,1.95758,0.67597,0.6511,0.68579,0.57556,0.83484,1.72651,1.78497,0.000101264,0.000101264,0.000101264
4,109.719,0.8302,1.97557,2.02123,0.67833,0.64653,0.68496,0.57464,0.84034,1.7102,1.7776,0.000131501,0.000131501,0.000131501
5,135.778,0.78492,1.58535,1.79903,0.67705,0.64711,0.68586,0.57177,0.85013,1.69205,1.7647,0.000159261,0.000159261,0.000159261
6,164.108,0.83843,1.81315,1.83343,0.67911,0.64322,0.68615,0.56812,0.86355,1.66683,1.75622,0.000184543,0.000184543,0.000184543
1,28.4357,1.07469,2.2316,2.1265,0.68214,0.64255,0.68646,0.57862,0.82461,1.71176,1.8104,3.336e-05,3.336e-05,3.336e-05
2,55.0562,0.93486,2.07,1.96816,0.68141,0.64529,0.68643,0.57682,0.831,1.73614,1.79832,6.85506e-05,6.85506e-05,6.85506e-05
3,81.3907,0.88867,2.00715,1.95758,0.67597,0.6511,0.68579,0.57556,0.83484,1.72651,1.78497,0.000101264,0.000101264,0.000101264
4,106.933,0.8302,1.97557,2.02123,0.67833,0.64653,0.68496,0.57464,0.84034,1.7102,1.7776,0.000131501,0.000131501,0.000131501
5,132.888,0.78492,1.58535,1.79903,0.67705,0.64711,0.68586,0.57177,0.85013,1.69205,1.7647,0.000159261,0.000159261,0.000159261
6,159.474,0.83843,1.81315,1.83343,0.67911,0.64322,0.68615,0.56812,0.86355,1.66683,1.75622,0.000184543,0.000184543,0.000184543
7,184.132,0.81684,1.99371,1.88054,0.67373,0.64542,0.68578,0.5672,0.86761,1.64429,1.75622,0.000207349,0.000207349,0.000207349
8,211.013,0.80191,1.66573,1.74885,0.66928,0.64602,0.68529,0.56646,0.86447,1.63596,1.75558,0.000227678,0.000227678,0.000227678
9,237.49,0.84323,1.91339,1.89785,0.66305,0.64941,0.68356,0.56366,0.86706,1.64076,1.7499,0.00024553,0.00024553,0.00024553
10,262.379,0.83637,1.83657,1.88127,0.66071,0.64433,0.68171,0.5631,0.86214,1.65632,1.73848,0.000260904,0.000260904,0.000260904
11,289.712,0.88703,2.02001,1.80397,0.65475,0.64173,0.68025,0.56179,0.8505,1.71648,1.72491,0.000273802,0.000273802,0.000273802
12,314.91,0.92835,2.02499,1.85129,0.6534,0.63778,0.67874,0.55845,0.81868,1.84296,1.70351,0.000265629,0.000265629,0.000265629
13,342.208,0.82679,1.85101,1.82375,0.65148,0.63604,0.67767,0.55719,0.79747,1.88483,1.69052,0.000251868,0.000251868,0.000251868
14,369.574,0.79888,1.92246,1.82306,0.65933,0.62695,0.67589,0.55601,0.76273,1.88573,1.67357,0.000238107,0.000238107,0.000238107
15,397.997,0.77699,1.67255,1.74634,0.6538,0.63215,0.67574,0.55565,0.74611,1.85199,1.66324,0.000224346,0.000224346,0.000224346
16,423.951,0.73645,1.93116,1.82038,0.65989,0.62993,0.67589,0.55581,0.73317,1.81387,1.65518,0.000210585,0.000210585,0.000210585
17,449.928,0.77848,1.65855,1.74405,0.66624,0.62504,0.67581,0.55715,0.72945,1.78409,1.6501,0.000196824,0.000196824,0.000196824
18,474.65,0.7736,1.87476,1.77586,0.66707,0.62522,0.67668,0.5573,0.72927,1.7726,1.64873,0.000183063,0.000183063,0.000183063
19,502.204,0.75504,1.91671,1.75009,0.66967,0.62754,0.678,0.55721,0.72923,1.75393,1.64942,0.000169302,0.000169302,0.000169302
20,528.033,0.77802,1.73344,1.66877,0.67184,0.62937,0.67795,0.55652,0.72774,1.73574,1.65123,0.000155541,0.000155541,0.000155541
21,556.975,0.6648,1.57885,1.74624,0.72171,0.63122,0.70301,0.5787,0.72607,1.71297,1.6529,0.00014178,0.00014178,0.00014178
22,584.241,0.63484,1.51346,1.71966,0.72098,0.63163,0.69922,0.57489,0.72576,1.6949,1.65603,0.000128019,0.000128019,0.000128019
23,611.886,0.64382,1.59841,1.68221,0.72106,0.6311,0.70031,0.576,0.72661,1.68675,1.65774,0.000114258,0.000114258,0.000114258
24,639.22,0.63822,1.66746,1.77193,0.72095,0.63005,0.69936,0.57578,0.72484,1.67163,1.6589,0.000100497,0.000100497,0.000100497
25,664.671,0.60332,1.59939,1.68191,0.72724,0.62502,0.69973,0.57532,0.72186,1.66165,1.65861,8.6736e-05,8.6736e-05,8.6736e-05
26,688.458,0.60744,1.50545,1.58168,0.72664,0.62477,0.69855,0.57327,0.71803,1.65482,1.65885,7.2975e-05,7.2975e-05,7.2975e-05
27,714.3,0.58835,1.56749,1.67362,0.7253,0.62427,0.69775,0.57267,0.71555,1.64756,1.65882,5.9214e-05,5.9214e-05,5.9214e-05
28,739.557,0.60935,1.49205,1.65545,0.72588,0.62348,0.69767,0.57259,0.71469,1.6439,1.65891,4.5453e-05,4.5453e-05,4.5453e-05
29,766.04,0.60082,1.52177,1.67878,0.72148,0.62568,0.69722,0.5724,0.71405,1.64025,1.65919,3.1692e-05,3.1692e-05,3.1692e-05
30,790.678,0.64685,1.70198,1.59746,0.72395,0.62444,0.69766,0.57298,0.71457,1.63901,1.65828,1.7931e-05,1.7931e-05,1.7931e-05
1,32.3942,1.07469,2.2316,2.1265,0.68214,0.64255,0.68646,0.57862,0.82461,1.71176,1.8104,3.336e-05,3.336e-05,3.336e-05
2,57.2965,0.93486,2.07,1.96816,0.68141,0.64529,0.68643,0.57682,0.831,1.73614,1.79832,6.85506e-05,6.85506e-05,6.85506e-05
3,82.2025,0.88867,2.00715,1.95758,0.67597,0.6511,0.68579,0.57556,0.83484,1.72651,1.78497,0.000101264,0.000101264,0.000101264
4,107.923,0.8302,1.97557,2.02123,0.67833,0.64653,0.68496,0.57464,0.84034,1.7102,1.7776,0.000131501,0.000131501,0.000131501
5,133.313,0.78492,1.58535,1.79903,0.67705,0.64711,0.68586,0.57177,0.85013,1.69205,1.7647,0.000159261,0.000159261,0.000159261
6,158.991,0.83843,1.81315,1.83343,0.67911,0.64322,0.68615,0.56812,0.86355,1.66683,1.75622,0.000184543,0.000184543,0.000184543
7,188.57,0.81684,1.99371,1.88054,0.67373,0.64542,0.68578,0.5672,0.86761,1.64429,1.75622,0.000207349,0.000207349,0.000207349
8,214.787,0.80191,1.66573,1.74885,0.66928,0.64602,0.68529,0.56646,0.86447,1.63596,1.75558,0.000227678,0.000227678,0.000227678
9,240.36,0.84323,1.91339,1.89785,0.66305,0.64941,0.68356,0.56366,0.86706,1.64076,1.7499,0.00024553,0.00024553,0.00024553
10,267.275,0.83637,1.83657,1.88127,0.66071,0.64433,0.68171,0.5631,0.86214,1.65632,1.73848,0.000260904,0.000260904,0.000260904
11,292.333,0.88703,2.02001,1.80397,0.65475,0.64173,0.68025,0.56179,0.8505,1.71648,1.72491,0.000273802,0.000273802,0.000273802
12,316.936,0.92835,2.02499,1.85129,0.6534,0.63778,0.67874,0.55845,0.81868,1.84296,1.70351,0.000265629,0.000265629,0.000265629
13,342.198,0.82679,1.85101,1.82375,0.65148,0.63604,0.67767,0.55719,0.79747,1.88483,1.69052,0.000251868,0.000251868,0.000251868
14,370.201,0.79888,1.92246,1.82306,0.65933,0.62695,0.67589,0.55601,0.76273,1.88573,1.67357,0.000238107,0.000238107,0.000238107
15,397.161,0.77699,1.67255,1.74634,0.6538,0.63215,0.67574,0.55565,0.74611,1.85199,1.66324,0.000224346,0.000224346,0.000224346
